Resident_Milo_Line3,"""달빛 예뻤어요.""","""The moonlight was pretty.""",“月光很美。”,「月光真美。」,「月明かりがきれいでした。」,"""Das Mondlicht war schön.""",,,,,,,,,,,,,
Resident_Milo_Line4,"""남은 빵 있나요?""","""Do you have any bread left?""",“你还有面包吗？”,「還有剩麵包嗎？」,「パンはまだ残っていますか？」,"""Gibt es noch etwas Brot?""",,,,,,,,,,,,,
Resident_Ollie_Line1,"""오늘 무지개 떴대요.""","""There was a rainbow today.""",“今天有彩虹。”,「聽說今天出現彩虹了。」,「今日は虹が出ました。」,"""Heute gab es einen Regenbogen.""",,,,,,,,,,,,,
Resident_Ollie_Line2,"""반짝이는 게 좋아요.""","""I like things that sparkle.""",“我喜欢闪闪发光的东西。”,「喜歡閃閃發亮的東西。」,「キラキラしたものが好きです。」,"""Ich mag Dinge, die glitzern.""",,,,,,,,,,,,,
Resident_Ollie_Line3,"""동화 속 같네요.""","""It's like a fairy tale.""",“这就像一个童话故事。”,「像童話故事裡呢。」,「まるでおとぎ話のようです。」,"""Es ist wie im Märchen.""",,,,,,,,,,,,,
Resident_Ollie_Line4,"""좋은 예감이 들어요.""","""I have a good feeling.""",“我感觉很好。”,「有種好預感。」,「いい予感がするよ。」,"""Ich habe ein gutes Gefühl.""",,,,,,,,,,,,,
Resident_User_Line1,"""오늘도 화이팅이야!""","""Fighting today too!""",“今天也打一架！”,「今天也要加油啊！」,「今日もファイト！」,"""Viel Erfolg auch heute!""",,,,,,,,,,,,,
Resident_User_Line2,"""이 마을을 내가 살려야해""","""I have to save this town.""",“我必须拯救这个小镇。”,「我必須拯救這個村莊」,「私はこの町を救わなければならない。」,"""Ich muss diesen Ort retten.""",,,,,,,,,,,,,
Resident_User_Line3,"""옆집은 장사가 잘되는 건가?""","""Is business going well next door?""",“隔壁生意还好吗？”,「隔壁家的生意好嗎？」,「お隣の商売は順調ですか？」,"""Läuft der Laden nebenan gut?""",,,,,,,,,,,,,
Resident_User_Line4,"""손님이 많이 왔으면 좋겠어""","""I hope there are lots of guests.""",“我希望有很多客人。”,「希望客人多多光臨」,「たくさんのお客様が来てくれるといいですね。」,"""Ich hoffe, es gibt viele Kunden.""",,,,,,,,,,,,,
Speaker_Lulu,루루,Lulu,露露,露露,るる,Lulu,,,,,,,,,,,,,
Speaker_Toto,토토,Toto,托托,托托,トト,Toto,,,,,,,,,,,,,
Speaker_Bambi,밤비,Bambi,小鹿斑比,邦比,バンビ,Bambi,,,,,,,,,,,,,
Speaker_Leo,레오,Leo,狮子座,里歐,レオ,Leo,,,,,,,,,,,,,
Speaker_Momo,모모,Momo,莫莫,莫莫,モモ,Momo,,,,,,,,,,,,,
Speaker_Kiki,키키,Kiki,琪琪,奇奇,キキ,Kiki,,,,,,,,,,,,,
Speaker_Uni,유니,Uni,大学,尤妮,ユニ,Uni,,,,,,,,,,,,,
Speaker_Milo,밀로,Milo,米洛,米洛,ミロ,Milo,,,,,,,,,,,,,
Speaker_Ollie,올리,Ollie,奥利,奧利,オリ,Ollie,,,,,,,,,,,,,
Speaker_Fifi,피피,Fifi,菲菲,皮皮,ピピ,Fifi,,,,,,,,,,,,,
Place_Donut,도넛가게,Donut shop,甜甜圈店,甜甜圈店,ドーナツ店,Donut,,,,,,,,,,,,,
Place_MiniCafe,미니카페,Small café,迷你咖啡馆,迷你咖啡館,ミニカフェ,MiniCafé,,,,,,,,,,,,,
Place_Cafe,고급카페,Luxury café,高档咖啡馆,高級咖啡館,高級カフェ,Café,,,,,,,,,,,,,
Place_IceCream,아이스크림 가게,Ice cream shop,冰淇淋店,冰淇淋店,アイスクリームショップ,Eiscreme,,,,,,,,,,,,,
Place_Bakery,베이커리,Bakery,面包店,麵包坊,ベーカリー,Bäckerei,,,,,,,,,,,,,
Place_Pizzeria,피자 집,Pizzeria,披萨店,披薩店,ピザハウス,Pizzeria,,,,,,,,,,,,,
Place_Bar,바,Bar,酒吧,酒吧,バー,Bar,,,,,,,,,,,,,
Place_Greengrocery,과일 가게,Fruit store,水果店,水果店,フルーツショップ,Obstladen,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
UI_Shop_Bundle,패키지,Bundle,礼包,捆,セット,Paket,,,,,,,,,,,,,
UI_Shop_Currency,재화,Currency,货币,貨幣,通貨,Währung,,,,,,,,,,,,,
UI_Shop_Item,아이템,Item,道具,物品,アイテム,Item,,,,,,,,,,,,,
UI_Shop_AdReward,광고 보상,Ad Reward,广告奖励,廣告獎勵,広告リワード,Werbung Belohnung,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
UI_LobbyPurchase_Confirm,구매,Buy,购买,買,購入,kaufen,,,,,,,,,,,,,
UI_InGamePurchase_Whisk,거품기,Whisk,打蛋器,拂,ホイッパー,Schneebesen,,,,,,,,,,,,,
UI_InGamePurchase_Scissors,가위,Scissors,剪刀,剪刀,はさみ,Schere,,,,,,,,,,,,,
UI_InGamePurchase_DonutPan,도넛팬,Donut Pan,甜甜圈模具,甜甜圈鍋,ドーナツ型,Donutpfanne,,,,,,,,,,,,,
UI_InGamePurchase_Coffee,커피,Coffee,咖啡,咖啡,コーヒー,Kaffee,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
UI_WeeklyQuest_Title,주간 퀘스트,Weekly Quests,每周任务,每週任務,ウィークリークエスト,wöchentliche Mission,,,,,,,,,,,,,
UI_WeeklyQuest_Explane1,매주 스테이지를 클리어하여 보상을 받아가세요!,Clear stages every week to receive rewards!,每周完成关卡即可获得奖励！,每週完成關卡即可獲得獎勵！,毎週ステージをクリアして報酬を受け取ろう！,"Meistere jede Woche Level, um Belohnungen zu erhalten!",,,,,,,,,,,,,
UI_WeeklyQuest_Explane2,(터치하여 보상을 얻을 수 있습니다. 월요일 초기화),(You can tap to get rewards. Resets on Mondays),（您可以点击获取奖励。每周一重置）,（您可以點擊獲取獎勵。每週一重置）,（タップすると報酬を獲得できます。月曜日にリセットされます）,"(Tippe, um Belohnungen zu erhalten. Wird montags zurückgesetzt)",,,,,,,,,,,,,
UI_Achievement_Title,업적,achievements,成就,成就,成果,Errungenschaften,,,,,,,,,,,,,
UI_Achievement_CompleteButton,완료,complete,完全的,完全的,完了,abgeschlossen,,,,,,,,,,,,,
Achievement_PuzzleTitle1,퍼즐 마스터 LV.1,Puzzle Master LV.1,谜题大师 LV.1,謎題大師 LV.1,パズルマスター LV.1,Rätselmeister LV. 1,,,,,,,,,,,,,
Achievement_PuzzleTitle2,퍼즐 마스터 LV.2,Puzzle Master LV.2,谜题大师 LV.2,謎題大師 LV.2,パズルマスター LV.2,Rätselmeister LV. 2,,,,,,,,,,,,,
Achievement_PuzzleTitle3,퍼즐 마스터 LV.3,Puzzle Master LV.3,谜题大师 LV.3,謎題大師 LV.3,パズルマスター LV.3,Rätselmeister LV. 3,,,,,,,,,,,,,
Achievement_PuzzleTitle4,퍼즐 마스터 LV.4,Puzzle Master LV.4,谜题大师 LV.4,謎題大師 LV.4,パズルマスター LV.4,Rätselmeister LV. 4,,,,,,,,,,,,,
Achievement_PuzzleTitle5,퍼즐 마스터 LV.5,Puzzle Master LV.5,谜题大师 LV.5,謎題大師 LV.5,パズルマスター LV.5,Rätselmeister LV. 5,,,,,,,,,,,,,
Achievement_PuzzleExplane1,블록 100회 매치하기,Match blocks 100 times,匹配方块 100 次,匹配方塊 100 次,ブロックを100回マッチさせる,Kombiniere Blöcke 100 Mal,,,,,,,,,,,,,
Achievement_PuzzleExplane2,블록 200회 매치하기,Match blocks 200 times,匹配方块 200 次,匹配方塊 200 次,ブロックを200回マッチさせる,Kombiniere Blöcke 200 Mal,,,,,,,,,,,,,
Achievement_PuzzleExplane3,블록 300회 매치하기,Match blocks 300 times,匹配方块 300 次,匹配方塊 300 次,ブロックを300回マッチさせる,Kombiniere Blöcke 300 Mal,,,,,,,,,,,,,
Achievement_PuzzleExplane4,블록 400회 매치하기,Match blocks 400 times,匹配方块 400 次,匹配方塊 400 次,ブロックを400回マッチさせる,Kombiniere Blöcke 400 Mal,,,,,,,,,,,,,
Achievement_PuzzleExplane5,블록 500회 매치하기,Match blocks 500 times,匹配方块 500 次,匹配方塊 500 次,ブロックを500回マッチさせる,Kombiniere Blöcke 500 Mal,,,,,,,,,,,,,
Achievement_FurnitureTitle1,가구 부자 LV.1,Furniture Rich LV.1,家具丰富 LV.1,家具豐富 LV.1,家具リッチ LV.1,Möbelreich LV. 1,,,,,,,,,,,,,
Achievement_FurnitureTitle2,가구 부자 LV.2,Furniture Rich LV.2,家具丰富 LV.2,家具豐富 LV.2,家具リッチ LV.2,Möbelreich LV. 2,,,,,,,,,,,,,
Achievement_FurnitureTitle3,가구 부자 LV.3,Furniture Rich LV.3,家具丰富 LV.3,家具豐富 LV.3,家具リッチ LV.3,Möbelreich LV. 3,,,,,,,,,,,,,
Achievement_FurnitureTitle4,가구 부자 LV.4,Furniture Rich LV.4,家具丰富 LV.4,家具豐富 LV.4,家具リッチ LV.4,Möbelreich LV. 4,,,,,,,,,,,,,
Achievement_FurnitureTitle5,가구 부자 LV.5,Furniture Rich LV.5,家具丰富 LV.5,家具豐富 LV.5,家具リッチ LV.5,Möbelreich LV. 5,,,,,,,,,,,,,
Achievement_FurnitureExplane1,가구 10개 배치하기,Place 10 pieces of furniture,放置10件家具,放置10件家具,家具を10個配置する,Platziere 10 Möbelstücke ,,,,,,,,,,,,,
Achievement_FurnitureExplane2,가구 15개 배치하기,Place 15 pieces of furniture,放置15件家具,放置15件家具,家具を15個配置する,Platziere 15 Möbelstücke ,,,,,,,,,,,,,
Achievement_FurnitureExplane3,가구 20개 배치하기,Place 20 pieces of furniture,放置20件家具,放置20件家具,家具を20個配置する,Platziere 20 Möbelstücke ,,,,,,,,,,,,,
Achievement_FurnitureExplane4,가구 25개 배치하기,Place 25 pieces of furniture,放置 25 件家具,放置 25 件家具,家具を25個配置する,Platziere 25 Möbelstücke ,,,,,,,,,,,,,
Achievement_FurnitureExplane5,가구 30개 배치하기,Place 30 pieces of furniture,放置30件家具,放置30件家具,家具を30個配置する,Platziere 30 Möbelstücke ,,,,,,,,,,,,,
Achievement_ChapterTitle1,산뜻한 시작,A refreshing start,令人耳目一新的开始,令人耳目一新的開始,爽やかなスタート,ein erfrischender Start,,,,,,,,,,,,,
Achievement_ChapterTitle2,조그만한 여유,A little bit of leisure,一点闲暇,一點閒暇,ちょっとした余暇,ein bisschen Erholung ,,,,,,,,,,,,,
Achievement_ChapterTitle3,커져가는 휴식 공간,Growing relaxation space,不断扩大的休闲空间,不斷擴大的休閒空間,成長するリラクゼーションスペース,wachsender Ruhebereich,,,,,,,,,,,,,
Achievement_ChapterTitle4,달콤한 도전의 성공,Success of Sweet Challenge,甜蜜挑战成功,甜蜜挑戰成功,スイートチャレンジの成功,Erfolg der süßen Herausforderung,,,,,,,,,,,,,
Achievement_ChapterTitle5,따뜻한 향기로 손님을 사로잡다,Captivate guests with a warm scent,用温暖的香味吸引客人,用溫暖的香味吸引客人,温かい香りでゲストを魅了,Nimm die Gäste mit warmem Duft ein,,,,,,,,,,,,,
Achievement_ChapterTitle6,뜨거운 열정의 증명,Proof of burning passion,激情燃烧的证明,激情燃燒的證明,燃える情熱の証,Beweis der brennenden Leidenschaft,,,,,,,,,,,,,
Achievement_ChapterTitle7,밤을 지배하는 사업가,The businessman who rules the night,统治夜晚的商人,統治夜晚的商人,夜を支配するビジネスマン,"Der Geschäftsmann, der die Nacht regiert ",,,,,,,,,,,,,
Achievement_ChapterTitle8,"마지막 시험, 결실의 시간","The final exam, the time of fruition",期末考试，成果的时刻,期末考試，成果的時刻,期末試験、結実の時,"Die letzte Prüfung, die Zeit der Verwirklichung ",,,,,,,,,,,,,
Achievement_ChapterExplane1,챕터 1 클리어,Clear Chapter 1,完成第一章,完成第一章,第1章をクリア,Schließe Level 1 ab,,,,,,,,,,,,,
Achievement_ChapterExplane2,챕터 2 클리어,Clear Chapter 2,完成第 2 章,完成第 2 章,第2章をクリア,Schließe Level 2 ab,,,,,,,,,,,,,
Achievement_ChapterExplane3,챕터 3 클리어,Clear Chapter 3,完成第 3 章,完成第 3 章,第3章をクリア,Schließe Level 3 ab,,,,,,,,,,,,,
Achievement_ChapterExplane4,챕터 4 클리어,Clear Chapter 4,完成第 4 章,完成第 4 章,第4章をクリア,Schließe Level 4 ab,,,,,,,,,,,,,
Achievement_ChapterExplane5,챕터 5 클리어,Clear Chapter 5,完成第 5 章,完成第 5 章,第5章をクリア,Schließe Level 5 ab,,,,,,,,,,,,,
Achievement_ChapterExplane6,챕터 6 클리어,Clear Chapter 6,完成第 6 章,完成第 6 章,第6章をクリア,Schließe Level 6 ab,,,,,,,,,,,,,
Achievement_ChapterExplane7,챕터 7 클리어,Clear Chapter 7,完成第 7 章,完成第 7 章,第7章をクリア,Schließe Level 7 ab,,,,,,,,,,,,,
Achievement_ChapterExplane8,챕터 8 클리어,Clear Chapter 8,完成第 8 章,完成第 8 章,第8章をクリア,Schließe Level 8 ab,,,,,,,,,,,,,
